ID,Category,Priority,File,Line(s),Issue Title,Description,Status
34,Console Cleanup,P3 - Low,src/screens/assets/AssetsScreen.tsx,60,console.error in asset loading,"Error logged but no user-facing feedback provided.",Open
35,Console Cleanup,P3 - Low,src/screens/statistics/StatisticsScreen.tsx,99,console.error in statistics loading,"Error logged but no user-facing feedback provided.",Open
36,Console Cleanup,P3 - Low,src/screens/home/HomeScreen.tsx,84,console.error in home data loading,"Error logged but no user-facing feedback provided.",Open
37,Console Cleanup,P3 - Low,src/screens/tasks/TaskDashboardScreen.tsx,32,console.error in dashboard loading,"Error logged but no user-facing feedback provided.",Open
38,Console Cleanup,P3 - Low,src/screens/tasks/TaskListScreen.tsx,"33 54 69",3 console.error calls in task list operations,"Errors in loading/toggling/deleting tasks logged but no user feedback.",Open
39,Console Cleanup,P3 - Low,src/screens/community/CommunityScreen.tsx,"45 72 80",3 console.error calls in community operations,"Errors in loading posts / liking / views logged but no user feedback.",Open
40,Console Cleanup,P3 - Low,src/screens/settings/PatientAISettingsScreen.tsx,"80 93",2 console.error calls in settings loading,"Errors logged but no user-facing feedback provided.",Open
41,Console Cleanup,P3 - Low,src/services/userSearchService.ts,"21 34 53 70 96 117",6 console.error calls in user search service,"All error paths only log to console with no propagation to UI.",Open
42,Console Cleanup,P3 - Low,src/hooks/useChat.ts,24,console.error in chat history loading,"Error logged but no user-facing feedback provided.",Open
43,Console Cleanup,P3 - Low,src/hooks/useAuth.ts,25,console.error in initial session fetch,"Error logged but no user-facing feedback provided.",Open
44,Console Cleanup,P3 - Low,src/App.tsx,"40 57",2 console.error calls in root App component,"Auth check and subscription errors logged but may leave app in broken state.",Open
45,Console Cleanup,P3 - Low,src/services/supabaseClient.ts,11,console.warn for missing env vars,"Warns about missing Supabase config but then uses placeholder values silently.",Open
46,Console Cleanup,P3 - Low,src/platform/voice/VoiceService.ts,"78 87",2 console.error calls in voice service,"Stop and cancel errors logged silently.",Open
47,Validation,P1 - High,src/screens/auth/AuthScreen.tsx,61,Weak password validation,"Only checks length >= 6. No complexity requirements (uppercase / number / special char). No email format validation before API call.",Open
48,Validation,P2 - Medium,src/screens/tasks/CreateTaskScreen.tsx,56-64,Minimal task creation validation,"Only checks if title is non-empty. No max length check or special character sanitization.",Open
49,Validation,P2 - Medium,src/screens/profile/ProfileScreen.tsx,179,Weak identifier validation for user search,"Only checks length >= 3. No format validation for UID pattern or phone number format.",Open
50,Accessibility,P2 - Medium,src/screens/auth/AuthScreen.tsx,154,Missing accessibilityLabel on password toggle,"TouchableOpacity for show/hide password has no accessibilityLabel or accessibilityHint for screen readers.",Open
51,Accessibility,P2 - Medium,src/screens/home/HomeScreen.tsx,175,Small touch targets without accessibility sizing,"switchButton TouchableOpacity may be < 44x44pt minimum on small screens violating WCAG guidelines.",Open
52,Accessibility,P2 - Medium,Multiple screen files,Various,No accessibility labels on interactive elements,"Multiple TouchableOpacity and Pressable components across screens lack accessibilityLabel props for VoiceOver/TalkBack.",Open
53,Security,P0 - Critical,src/services/geminiService.ts,19,API key exposure in logs,"Gemini API key first 8 characters printed via console.log in production. Must remove immediately.",Open
54,Security,P1 - High,src/platform/storage/SecureStorage.ios.ts,12,Storage key names logged,"console.log prints the key name when storing sensitive data. Could expose what secrets are being stored.",Open
55,Security,P1 - High,src/platform/storage/SecureStorage.android.ts,11,Storage key names logged,"console.log prints the key name when storing sensitive data. Could expose what secrets are being stored.",Open
56,Security,P1 - High,src/services/authService.ts,"49 56 68",OAuth URLs logged to console,"Redirect URLs and OAuth session URLs logged in production. Could expose auth tokens.",Open
